feature_index,channel,bin_fft,feature_type
226,aceleracao_y_mancal_b,34,approx_magnitude_abs_real_plus_abs_imag_q15
227,aceleracao_y_mancal_b,35,approx_magnitude_abs_real_plus_abs_imag_q15
228,aceleracao_y_mancal_b,36,approx_magnitude_abs_real_plus_abs_imag_q15
229,aceleracao_y_mancal_b,37,approx_magnitude_abs_real_plus_abs_imag_q15
230,aceleracao_y_mancal_b,38,approx_magnitude_abs_real_plus_abs_imag_q15
231,aceleracao_y_mancal_b,39,approx_magnitude_abs_real_plus_abs_imag_q15
232,aceleracao_y_mancal_b,40,approx_magnitude_abs_real_plus_abs_imag_q15
233,aceleracao_y_mancal_b,41,approx_magnitude_abs_real_plus_abs_imag_q15
234,aceleracao_y_mancal_b,42,approx_magnitude_abs_real_plus_abs_imag_q15
235,aceleracao_y_mancal_b,43,approx_magnitude_abs_real_plus_abs_imag_q15
236,aceleracao_y_mancal_b,44,approx_magnitude_abs_real_plus_abs_imag_q15
237,aceleracao_y_mancal_b,45,approx_magnitude_abs_real_plus_abs_imag_q15
238,aceleracao_y_mancal_b,46,approx_magnitude_abs_real_plus_abs_imag_q15
239,aceleracao_y_mancal_b,47,approx_magnitude_abs_real_plus_abs_imag_q15
240,aceleracao_y_mancal_b,48,approx_magnitude_abs_real_plus_abs_imag_q15
241,aceleracao_y_mancal_b,49,approx_magnitude_abs_real_plus_abs_imag_q15
242,aceleracao_y_mancal_b,50,approx_magnitude_abs_real_plus_abs_imag_q15
243,aceleracao_y_mancal_b,51,approx_magnitude_abs_real_plus_abs_imag_q15
244,aceleracao_y_mancal_b,52,approx_magnitude_abs_real_plus_abs_imag_q15
245,aceleracao_y_mancal_b,53,approx_magnitude_abs_real_plus_abs_imag_q15
246,aceleracao_y_mancal_b,54,approx_magnitude_abs_real_plus_abs_imag_q15
247,aceleracao_y_mancal_b,55,approx_magnitude_abs_real_plus_abs_imag_q15
248,aceleracao_y_mancal_b,56,approx_magnitude_abs_real_plus_abs_imag_q15
249,aceleracao_y_mancal_b,57,approx_magnitude_abs_real_plus_abs_imag_q15
250,aceleracao_y_mancal_b,58,approx_magnitude_abs_real_plus_abs_imag_q15
251,aceleracao_y_mancal_b,59,approx_magnitude_abs_real_plus_abs_imag_q15
252,aceleracao_y_mancal_b,60,approx_magnitude_abs_real_plus_abs_imag_q15
253,aceleracao_y_mancal_b,61,approx_magnitude_abs_real_plus_abs_imag_q15
254,aceleracao_y_mancal_b,62,approx_magnitude_abs_real_plus_abs_imag_q15
255,aceleracao_y_mancal_b,63,approx_magnitude_abs_real_plus_abs_imag_q15
